begin HEADER
  File_Creation = "2009-05-26T19:32:48 UTC"
  File_ID       = "GOSAT TANSO FTS Conversion Factors"
  Labels        = "Wavenumber" "CNV(B2P_gainH)" "CNV(B2S_gainH)" "CNV(B2P_gainM)" "CNV(B2S_gainM)"
  Num_Columns   = 5
  Num_Rows      = 8001
end HEADER

#      Wavenumber   CNV(B2P_gainH)   CNV(B2S_gainH)   CNV(B2P_gainM)   CNV(B2S_gainM)
   5.35859140e+03              N/A              N/A   1.27904087e-04   5.51867599e-05
   5.35879140e+03              N/A              N/A   5.83419341e-05   2.57248343e-04
   5.35899140e+03              N/A              N/A   2.09146815e-04   6.59597512e-05
   5.35919140e+03              N/A              N/A  -4.86145285e-04   4.20954900e-04
   5.35939140e+03              N/A              N/A   6.61940514e-05   6.10481336e-05
   5.35959140e+03              N/A              N/A   8.56984429e-05   1.80980665e-04
   5.35979140e+03              N/A              N/A   7.75473667e-05   5.56812219e-05
   5.35999140e+03              N/A              N/A   1.84169388e-04   8.41341021e-05
   5.36019140e+03              N/A              N/A   8.00463369e-05   4.10668861e-05
   5.36039140e+03              N/A              N/A  -2.00053284e-03   2.85636846e-04
   5.36059140e+03              N/A              N/A   9.76973714e-05   1.01232729e-04
   5.36079140e+03              N/A              N/A   1.60269174e-04   2.50283672e-04
   5.36099140e+03              N/A              N/A   9.58745192e-05   6.13479941e-05
   5.36119140e+03              N/A              N/A   1.93166775e-04   1.07554604e-04
   5.36139140e+03              N/A              N/A   1.27816653e-04   6.69721674e-05
   5.36159140e+03              N/A              N/A   2.24530108e-04  -5.54075020e-04
   5.36179140e+03              N/A              N/A   8.52721390e-05   6.07527049e-05
   5.36199140e+03              N/A              N/A   1.14748437e-04  -2.94206128e-03
   5.36219140e+03              N/A              N/A   1.03337535e-04   5.45749668e-05
   5.36239140e+03              N/A              N/A   2.03224242e-04  -1.12218313e-03
   5.36259140e+03              N/A              N/A   1.44315297e-04   6.12381867e-05
   5.36279140e+03              N/A              N/A   1.39855433e-04   8.04526764e-05
   5.36299140e+03              N/A              N/A   9.95246976e-05   9.22309968e-05
   5.36319140e+03              N/A              N/A   2.53408060e-04   1.05858992e-02
   5.36339140e+03              N/A              N/A   1.21251795e-04   4.38904139e-05
   5.36359140e+03              N/A              N/A   2.06936863e-04   2.34748429e-04
   5.36379140e+03              N/A              N/A   2.30062776e-04   6.51146386e-05
   5.36399140e+03              N/A              N/A   1.60772837e-04   1.71440952e-04
   5.36419140e+03              N/A              N/A   1.21664171e-04   9.28339326e-05
   5.36439140e+03              N/A              N/A   7.92855683e-05  -9.52289901e-05
   5.36459140e+03              N/A              N/A   1.48408894e-04   1.09149053e-04
   5.36479140e+03              N/A              N/A   3.13401853e-04   1.94725674e-04
   5.36499140e+03              N/A              N/A   6.97365600e-05   6.05491639e-05
   5.36519140e+03              N/A              N/A   4.30820915e-04   4.32582811e-03
   5.36539140e+03              N/A              N/A   1.23734654e-04   4.62378438e-05
   5.36559140e+03              N/A              N/A   7.50330482e-05   3.96213450e-05
   5.36579140e+03              N/A              N/A   1.19482712e-04   5.83298090e-05
   5.36599140e+03              N/A              N/A   9.95233968e-05   1.36842505e-04
   5.36619140e+03              N/A              N/A   9.77150889e-05   5.21015352e-05
   5.36639140e+03              N/A              N/A   8.38877252e-05   1.22513742e-04
   5.36659140e+03              N/A              N/A   5.70418371e-05   5.38166599e-05
   5.36679140e+03              N/A              N/A   1.60125792e-04   3.99732195e-04
   5.36699140e+03              N/A              N/A   5.08667438e-05   6.17752495e-05
