Solar Doppler Velocity [m/s]:   298.33                # Note: Positive means FOV moving TOWARDS the sun.
Solar Intensity Units are: ph/s/m^2/um    
Distance to Sun in AU:    1.00721
S = Solar Rest Frame.  E = earth-centered rest frame.
        Wavenumber_E        Wavenumber_S   Wavelength_S [um]       Transmittance           Intensity
          4892.00000          4891.99513        2.0441557546        0.9960023373        0.115524E+22
          4891.99000          4891.98513        2.0441599332        0.9947753356        0.115381E+22
          4891.98000          4891.97513        2.0441641117        0.9933224057        0.115212E+22
          4891.97000          4891.96513        2.0441682904        0.9917174225        0.115025E+22
          4891.96000          4891.95513        2.0441724690        0.9900991194        0.114837E+22
          4891.95000          4891.94513        2.0441766476        0.9886582954        0.114669E+22
          4891.94000          4891.93513        2.0441808263        0.9876000734        0.114545E+22
          4891.93000          4891.92513        2.0441850050        0.9870917503        0.114486E+22
          4891.92000          4891.91513        2.0441891837        0.9872170765        0.114500E+22
          4891.91000          4891.90513        2.0441933624        0.9879545439        0.114585E+22
          4891.90000          4891.89513        2.0441975411        0.9891826256        0.114726E+22
          4891.89000          4891.88513        2.0442017199        0.9907123807        0.114903E+22
          4891.88000          4891.87513        2.0442058986        0.9923382620        0.115091E+22
          4891.87000          4891.86513        2.0442100774        0.9938866991        0.115270E+22
          4891.86000          4891.85513        2.0442142562        0.9952442897        0.115427E+22
          4891.85000          4891.84513        2.0442184350        0.9963608871        0.115556E+22
          4891.84000          4891.83513        2.0442226139        0.9972350736        0.115656E+22
          4891.83000          4891.82513        2.0442267927        0.9978938022        0.115732E+22
          4891.82000          4891.81513        2.0442309716        0.9983749207        0.115787E+22
          4891.81000          4891.80513        2.0442351505        0.9987159274        0.115826E+22
          4891.80000          4891.79513        2.0442393294        0.9989484838        0.115853E+22
          4891.79000          4891.78513        2.0442435083        0.9990967672        0.115869E+22
          4891.78000          4891.77513        2.0442476872        0.9991778543        0.115878E+22
          4891.77000          4891.76513        2.0442518662        0.9992029519        0.115880E+22
          4891.76000          4891.75513        2.0442560451        0.9991788965        0.115877E+22
          4891.75000          4891.74513        2.0442602241        0.9991097328        0.115868E+22
          4891.74000          4891.73513        2.0442644031        0.9989983615        0.115854E+22
          4891.73000          4891.72513        2.0442685822        0.9988482624        0.115836E+22
          4891.72000          4891.71513        2.0442727612        0.9986651871        0.115815E+22
          4891.71000          4891.70513        2.0442769403        0.9984585391        0.115790E+22
          4891.70000          4891.69513        2.0442811193        0.9982420191        0.115764E+22
          4891.69000          4891.68513        2.0442852984        0.9980331326        0.115739E+22
          4891.68000          4891.67513        2.0442894775        0.9978514074        0.115718E+22
          4891.67000          4891.66513        2.0442936566        0.9977156030        0.115701E+22
          4891.66000          4891.65513        2.0442978358        0.9976406052        0.115692E+22
          4891.65000          4891.64513        2.0443020149        0.9976348806        0.115691E+22
          4891.64000          4891.63513        2.0443061941        0.9976991384        0.115697E+22
          4891.63000          4891.62513        2.0443103733        0.9978262476        0.115711E+22
          4891.62000          4891.61513        2.0443145525        0.9980023184        0.115731E+22
          4891.61000          4891.60513        2.0443187317        0.9982091670        0.115755E+22
          4891.60000          4891.59513        2.0443229110        0.9984273516        0.115779E+22
          4891.59000          4891.58513        2.0443270902        0.9986391747        0.115803E+22
          4891.58000          4891.57513        2.0443312695        0.9988307628        0.115825E+22
          4891.57000          4891.56513        2.0443354488        0.9989929269        0.115843E+22
          4891.56000          4891.55513        2.0443396281        0.9991209036        0.115857E+22
          4891.55000          4891.54513        2.0443438075        0.9992133812        0.115867E+22
          4891.54000          4891.53513        2.0443479868        0.9992712853        0.115873E+22
          4891.53000          4891.52513        2.0443521662        0.9992966821        0.115875E+22
          4891.52000          4891.51513        2.0443563456        0.9992919838        0.115874E+22
          4891.51000          4891.50513        2.0443605249        0.9992594857        0.115870E+22
          4891.50000          4891.49513        2.0443647044        0.9992011828        0.115862E+22
          4891.49000          4891.48513        2.0443688838        0.9991187811        0.115852E+22
          4891.48000          4891.47513        2.0443730632        0.9990138249        0.115839E+22
          4891.47000          4891.46513        2.0443772427        0.9988878796        0.115824E+22
          4891.46000          4891.45513        2.0443814222        0.9987427268        0.115807E+22
          4891.45000          4891.44513        2.0443856017        0.9985805417        0.115787E+22
          4891.44000          4891.43513        2.0443897812        0.9984040333        0.115766E+22
          4891.43000          4891.42513        2.0443939607        0.9982165330        0.115744E+22
          4891.42000          4891.41513        2.0443981403        0.9980220226        0.115720E+22
