begin HEADER
  File_Creation        = "2009-11-10T23:04:33"
  File_ID              = "GOSAT Noise for Pol: S, Gain: M. Example only, real values vary with scene"
  Labels               = "COLOR_1" "CNV_COEF_1" "COLOR_2" "CNV_COEF_2" "COLOR_3" "CNV_COEF_3"
  Num_Columns          = 6
  Num_Rows             = 3508
  band_noise_values    = 2.510131e-01 1.085544e-01 1.214302e-01
  source_acos_l1b_file = /test/gds/system_test/B2.05.01/l1b/acos_L1b_090724_01_Production090929_091019194551t.hdf
  source_sounding_id   = 20090724012908
end HEADER

#         COLOR_1       CNV_COEF_1          COLOR_2       CNV_COEF_2          COLOR_3       CNV_COEF_3
   1.38000000e+02   4.41113883e-08   1.38000000e+02   4.68742840e-08   1.38000000e+02   2.40301556e-08
   1.39000000e+02   4.40979342e-08   1.39000000e+02   4.68815138e-08   1.39000000e+02   2.40226772e-08
   1.40000000e+02   4.40838299e-08   1.40000000e+02   4.68137422e-08   1.40000000e+02   2.40182807e-08
   1.41000000e+02   4.40695871e-08   1.41000000e+02   4.66998813e-08   1.41000000e+02   2.40083526e-08
   1.42000000e+02   4.40566481e-08   1.42000000e+02   4.66009880e-08   1.42000000e+02   2.39908875e-08
   1.43000000e+02   4.40464234e-08   1.43000000e+02   4.65402792e-08   1.43000000e+02   2.39846791e-08
   1.44000000e+02   4.40361987e-08   1.44000000e+02   4.65380410e-08   1.44000000e+02   2.39777602e-08
   1.45000000e+02   4.40247092e-08   1.45000000e+02   4.66113725e-08   1.45000000e+02   2.39645921e-08
   1.46000000e+02   4.40129355e-08   1.46000000e+02   4.67163837e-08   1.46000000e+02   2.39613165e-08
   1.47000000e+02   4.40028494e-08   1.47000000e+02   4.67894061e-08   1.47000000e+02   2.39539375e-08
   1.48000000e+02   4.39965007e-08   1.48000000e+02   4.67759342e-08   1.48000000e+02   2.39462263e-08
   1.49000000e+02   4.39901484e-08   1.49000000e+02   4.67125361e-08   1.49000000e+02   2.39358311e-08
   1.50000000e+02   4.39835510e-08   1.50000000e+02   4.66128114e-08   1.50000000e+02   2.39340068e-08
   1.51000000e+02   4.39768897e-08   1.51000000e+02   4.64897063e-08   1.51000000e+02   2.39312730e-08
   1.52000000e+02   4.39691732e-08   1.52000000e+02   4.64195580e-08   1.52000000e+02   2.39196343e-08
   1.53000000e+02   4.39589591e-08   1.53000000e+02   4.64234482e-08   1.53000000e+02   2.38950193e-08
   1.54000000e+02   4.39487451e-08   1.54000000e+02   4.64670045e-08   1.54000000e+02   2.38846862e-08
   1.55000000e+02   4.39391599e-08   1.55000000e+02   4.65543870e-08   1.55000000e+02   2.38718876e-08
   1.56000000e+02   4.39297381e-08   1.56000000e+02   4.66451802e-08   1.56000000e+02   2.38666154e-08
   1.57000000e+02   4.39212009e-08   1.57000000e+02   4.66633736e-08   1.57000000e+02   2.38586235e-08
   1.58000000e+02   4.39148735e-08   1.58000000e+02   4.66030841e-08   1.58000000e+02   2.38465940e-08
   1.59000000e+02   4.39085497e-08   1.59000000e+02   4.65217873e-08   1.59000000e+02   2.38314950e-08
   1.60000000e+02   4.38988010e-08   1.60000000e+02   4.64172345e-08   1.60000000e+02   2.38227766e-08
   1.61000000e+02   4.38880825e-08   1.61000000e+02   4.63340264e-08   1.61000000e+02   2.38158862e-08
   1.62000000e+02   4.38788490e-08   1.62000000e+02   4.63170338e-08   1.62000000e+02   2.38091342e-08
   1.63000000e+02   4.38735626e-08   1.63000000e+02   4.63679015e-08   1.63000000e+02   2.38024445e-08
   1.64000000e+02   4.38682761e-08   1.64000000e+02   4.64763374e-08   1.64000000e+02   2.37956375e-08
   1.65000000e+02   4.38615899e-08   1.65000000e+02   4.66241623e-08   1.65000000e+02   2.37787603e-08
   1.66000000e+02   4.38544774e-08   1.66000000e+02   4.66438408e-08   1.66000000e+02   2.37720368e-08
   1.67000000e+02   4.38465761e-08   1.67000000e+02   4.65353409e-08   1.67000000e+02   2.37661304e-08
   1.68000000e+02   4.38364296e-08   1.68000000e+02   4.64390482e-08   1.68000000e+02   2.37571136e-08
   1.69000000e+02   4.38262830e-08   1.69000000e+02   4.63328433e-08   1.69000000e+02   2.37525501e-08
   1.70000000e+02   4.38161187e-08   1.70000000e+02   4.62518130e-08   1.70000000e+02   2.37463169e-08
   1.71000000e+02   4.38059473e-08   1.71000000e+02   4.62818868e-08   1.71000000e+02   2.37286919e-08
   1.72000000e+02   4.37970407e-08   1.72000000e+02   4.63203413e-08   1.72000000e+02   2.37131079e-08
   1.73000000e+02   4.37919923e-08   1.73000000e+02   4.63411105e-08   1.73000000e+02   2.36928539e-08
   1.74000000e+02   4.37869438e-08   1.74000000e+02   4.64104559e-08   1.74000000e+02   2.36891555e-08
   1.75000000e+02   4.37816432e-08   1.75000000e+02   4.64564458e-08   1.75000000e+02   2.36799416e-08
   1.76000000e+02   4.37762573e-08   1.76000000e+02   4.64312038e-08   1.76000000e+02   2.36775719e-08
   1.77000000e+02   4.37710383e-08   1.77000000e+02   4.63659724e-08   1.77000000e+02   2.36682318e-08
   1.78000000e+02   4.37663523e-08   1.78000000e+02   4.62567797e-08   1.78000000e+02   2.36546160e-08
   1.79000000e+02   4.37616698e-08   1.79000000e+02   4.61480454e-08   1.79000000e+02   2.36474804e-08
   1.80000000e+02   4.37555983e-08   1.80000000e+02   4.61123086e-08   1.80000000e+02   2.36380000e-08
   1.81000000e+02   4.37490044e-08   1.81000000e+02   4.61493066e-08   1.81000000e+02   2.36190516e-08
   1.82000000e+02   4.37426166e-08   1.82000000e+02   4.62253666e-08   1.82000000e+02   2.36152697e-08
   1.83000000e+02   4.37369501e-08   1.83000000e+02   4.63095660e-08   1.83000000e+02   2.36031195e-08
   1.84000000e+02   4.37312799e-08   1.84000000e+02   4.63596379e-08   1.84000000e+02   2.35971420e-08
   1.85000000e+02   4.37253327e-08   1.85000000e+02   4.63414160e-08   1.85000000e+02   2.35850308e-08
   1.86000000e+02   4.37192753e-08   1.86000000e+02   4.62649474e-08   1.86000000e+02   2.35784530e-08
   1.87000000e+02   4.37127241e-08   1.87000000e+02   4.61655603e-08   1.87000000e+02   2.35640698e-08
   1.88000000e+02   4.37043148e-08   1.88000000e+02   4.60712890e-08   1.88000000e+02   2.35514452e-08
   1.89000000e+02   4.36959020e-08   1.89000000e+02   4.60155363e-08   1.89000000e+02   2.35468480e-08
   1.90000000e+02   4.36897878e-08   1.90000000e+02   4.60262832e-08   1.90000000e+02   2.35383180e-08
   1.91000000e+02   4.36846470e-08   1.91000000e+02   4.61025174e-08   1.91000000e+02   2.35255442e-08
   1.92000000e+02   4.36799041e-08   1.92000000e+02   4.62030911e-08   1.92000000e+02   2.35242332e-08
   1.93000000e+02   4.36767884e-08   1.93000000e+02   4.62575649e-08   1.93000000e+02   2.35212312e-08
   1.94000000e+02   4.36736691e-08   1.94000000e+02   4.62498910e-08   1.94000000e+02   2.35137261e-08
   1.95000000e+02   4.36698890e-08   1.95000000e+02   4.61885357e-08   1.95000000e+02   2.34959092e-08
   1.96000000e+02   4.36658141e-08   1.96000000e+02   4.60859972e-08   1.96000000e+02   2.34913102e-08
   1.97000000e+02   4.36615082e-08   1.97000000e+02   4.59787053e-08   1.97000000e+02   2.34762201e-08
   1.98000000e+02   4.36561862e-08   1.98000000e+02   4.59146712e-08   1.98000000e+02   2.34669901e-08
   1.99000000e+02   4.36508607e-08   1.99000000e+02   4.59290597e-08   1.99000000e+02   2.34602666e-08
   2.00000000e+02   4.36453718e-08   2.00000000e+02   4.60102463e-08   2.00000000e+02   2.34530209e-08
   2.01000000e+02   4.36398047e-08   2.01000000e+02   4.60926977e-08   2.01000000e+02   2.34441924e-08
   2.02000000e+02   4.36342980e-08   2.02000000e+02   4.61440379e-08   2.02000000e+02   2.34357405e-08
   2.03000000e+02   4.36291110e-08   2.03000000e+02   4.61638408e-08   2.03000000e+02   2.34266739e-08
   2.04000000e+02   4.36239240e-08   2.04000000e+02   4.61115377e-08   2.04000000e+02   2.34164350e-08
   2.05000000e+02   4.36186340e-08   2.05000000e+02   4.60152130e-08   2.05000000e+02   2.34019009e-08
   2.06000000e+02   4.36132908e-08   2.06000000e+02   4.59195597e-08   2.06000000e+02   2.33947546e-08
   2.07000000e+02   4.36081216e-08   2.07000000e+02   4.58467824e-08   2.07000000e+02   2.33920545e-08
   2.08000000e+02   4.36038903e-08   2.08000000e+02   4.58598457e-08   2.08000000e+02   2.33871500e-08
   2.09000000e+02   4.35996590e-08   2.09000000e+02   4.59113529e-08   2.09000000e+02   2.33825563e-08
   2.10000000e+02   4.35962590e-08   2.10000000e+02   4.60320422e-08   2.10000000e+02   2.33689086e-08
   2.11000000e+02   4.35933032e-08   2.11000000e+02   4.61269529e-08   2.11000000e+02   2.33630040e-08
   2.12000000e+02   4.35904006e-08   2.12000000e+02   4.60957423e-08   2.12000000e+02   2.33581723e-08
   2.13000000e+02   4.35878036e-08   2.13000000e+02   4.60386218e-08   2.13000000e+02   2.33448230e-08
   2.14000000e+02   4.35852066e-08   2.14000000e+02   4.59466385e-08   2.14000000e+02   2.33378223e-08
